System,Model,Group,DataSource,λ_est,λ_lit,ECE,NLL(h=1),NLL(h=20),RMSE(h=1),RMSE(h=20),LCS,CovGap,PQ,MA,ER,ID,FC,EU,AB,FINAL_total
Van der Pol,ACI,D,RK4 integration (reproducible benchmark),-0.0378,0.0,0.2705,-1.8228,-0.7419,0.0325,0.034,N/A,0.0726,0.9675,0.5,0.7295,0.6354,0.966,1.0,0.6,0.7413
Van der Pol,ESN,E,RK4 integration (reproducible benchmark),-0.0378,0.0,0.3829,23.0679,20.4108,0.0299,0.0329,N/A,N/A,0.9701,0.5,0.6171,0.0,0.9671,1.0,0.6,0.6049
Van der Pol,Mamba-Lite,E,RK4 integration (reproducible benchmark),-0.0378,0.0,0.3762,12.246,268.8337,0.059,0.0769,N/A,N/A,0.941,0.5,0.6238,0.0,0.9231,1.0,0.6,0.5962
Van der Pol,TFT-Lite,F,RK4 integration (reproducible benchmark),-0.0378,0.0,0.3138,-1.3139,-1.3337,0.0377,0.037,N/A,N/A,0.9623,0.5,0.6862,0.7372,0.963,1.0,0.6,0.7499
Van der Pol,PatchTST-Lite,F,RK4 integration (reproducible benchmark),-0.0378,0.0,0.4217,62.6433,99.3659,0.0434,0.0692,N/A,N/A,0.9566,0.5,0.5783,0.0,0.9308,1.0,0.6,0.5901
Van der Pol,NormFlowEns,G,RK4 integration (reproducible benchmark),-0.0378,0.0,0.3323,-0.6446,-0.6671,0.0523,0.0543,N/A,N/A,0.9477,0.5,0.6677,0.8711,0.9457,1.0,0.6,0.7659
Van der Pol,SelectivePredictor,H,RK4 integration (reproducible benchmark),-0.0378,0.0,0.4516,161.0858,346.5664,0.0463,0.0523,N/A,N/A,0.9537,0.5,0.5484,0.0,0.9477,1.0,0.9559,0.6041
Halvorsen,DE,A,RK4 integration (reproducible benchmark),0.6739,0.75,0.1959,-0.4779,14.5995,0.0948,0.407,0.8718,N/A,0.9052,0.9359,0.8041,0.9044,0.593,1.0,0.6,0.8371
Halvorsen,SnapshotEns,A,RK4 integration (reproducible benchmark),0.6739,0.75,0.0666,0.0735,1.4324,0.1961,0.658,0.9653,N/A,0.8039,0.9826,0.9334,0.9853,0.342,1.0,0.6,0.838
Halvorsen,BayesLSTM,B,RK4 integration (reproducible benchmark),0.6739,0.75,0.2937,-0.0304,0.2173,0.1294,0.2261,0.608,N/A,0.8706,0.804,0.7063,0.9939,0.7739,1.0,0.6,0.8276
Halvorsen,EDL,B,RK4 integration (reproducible benchmark),0.6739,0.75,0.3864,1.618,1.7982,0.2184,1.0489,0.717,N/A,0.7816,0.8585,0.6136,0.6764,0.0,0.1334,0.6,0.5678
Halvorsen,MDN,B,RK4 integration (reproducible benchmark),0.6739,0.75,0.1513,-1.1938,0.4395,0.1,0.4784,0.9114,N/A,0.9,0.9557,0.8487,0.7612,0.5216,1.0,0.6,0.8133
Halvorsen,DKL,C,RK4 integration (reproducible benchmark),0.6739,0.75,0.0401,-1.8831,7.094,0.0317,0.1893,N/A,N/A,0.9683,0.5,0.9599,0.6234,0.8107,1.0,0.6,0.762
Halvorsen,SNGP,C,RK4 integration (reproducible benchmark),0.6739,0.75,0.3165,1.2949,1.6883,0.6135,1.0322,0.998,N/A,0.3865,0.999,0.6835,0.741,0.0,1.0,0.6,0.6462
Halvorsen,ConformalNN,D,RK4 integration (reproducible benchmark),0.6739,0.75,0.1689,-0.263,0.9629,0.1443,0.5321,0.9168,0.0078,0.8557,0.9584,0.8311,0.9474,0.4679,1.0,0.6,0.8305
Halvorsen,ACI,D,RK4 integration (reproducible benchmark),0.6739,0.75,0.2312,-0.2181,1.4731,0.1514,0.4684,0.8633,0.057,0.8486,0.9316,0.7688,0.9564,0.5316,1.0,0.6,0.8224
Halvorsen,ESN,E,RK4 integration (reproducible benchmark),0.6739,0.75,0.3658,5.7834,12.4559,0.1014,0.2693,0.9635,N/A,0.8986,0.9818,0.6342,0.0,0.7307,1.0,0.6,0.6703
Halvorsen,Mamba-Lite,E,RK4 integration (reproducible benchmark),0.6739,0.75,0.4115,56.7937,114.9138,0.2769,0.5559,0.964,N/A,0.7231,0.982,0.5885,0.0,0.4441,1.0,0.6,0.5971
Halvorsen,TFT-Lite,F,RK4 integration (reproducible benchmark),0.6739,0.75,0.2491,0.0664,0.6483,0.192,0.403,0.7772,N/A,0.808,0.8886,0.7509,0.9867,0.597,1.0,0.6,0.8198
Halvorsen,PatchTST-Lite,F,RK4 integration (reproducible benchmark),0.6739,0.75,0.4341,120.0835,353.8666,0.2338,0.7105,0.9942,N/A,0.7662,0.9971,0.5659,0.0,0.2895,1.0,0.6,0.5779
Halvorsen,NormFlowEns,G,RK4 integration (reproducible benchmark),0.6739,0.75,0.2781,0.4277,0.8859,0.1568,0.4438,0.9726,N/A,0.8432,0.9863,0.7219,0.9145,0.5562,1.0,0.6,0.8206
Halvorsen,SelectivePredictor,H,RK4 integration (reproducible benchmark),0.6739,0.75,0.4594,139.2129,1518.4884,0.1742,0.5692,0.9818,N/A,0.8258,0.9909,0.5406,0.0,0.4308,1.0,0.9535,0.6175
